type,age group,year,month,N,Pop,Crude Rate,LCL,UCL,total_all_causes,percent
total/all causes,10_18,2019,Aug,20,"668,842",35.88,20.16,51.61,20,100
total/all causes,10_18,2019,Sep,10,"668,842",17.94,6.82,29.06,10,100
total/all causes,10_18,2019,Oct,17,"668,842",30.5,16,45,17,100
total/all causes,10_18,2019,Nov,21,"668,842",37.68,21.57,53.79,21,100
total/all causes,10_18,2019,Dec,14,"668,842",25.12,11.96,38.27,14,100
total/all causes,10_18,2020,Jan,24,"673,170",42.78,25.67,59.9,24,100
total/all causes,10_18,2020,Feb,15,"673,170",26.74,13.21,40.27,15,100
total/all causes,10_18,2020,Mar,13,"673,170",23.17,10.58,35.77,13,100
total/all causes,10_18,2020,Apr,25,"673,170",44.57,27.1,62.03,25,100
total/all causes,10_18,2020,May,27,"673,170",48.13,29.98,66.28,27,100
total/all causes,10_18,2020,Jun,19,"673,170",33.87,18.64,49.1,19,100
total/all causes,10_18,2020,Jul,11,"673,170",19.61,8.02,31.2,11,100
total/all causes,10_18,2020,Aug,0,"673,170",0,0,0,0,*
total/all causes,10_18,2020,Sep,0,"673,170",0,0,0,0,*
total/all causes,10_18,2020,Oct,0,"673,170",0,0,0,0,*
total/all causes,10_18,2020,Nov,0,"673,170",0,0,0,0,*
total/all causes,10_18,2020,Dec,0,"673,170",0,0,0,0,*
total/all causes,19_24,2018,Jan,33,"478,713",82.72,54.51,110.93,33,100
total/all causes,19_24,2018,Feb,34,"478,713",85.23,56.59,113.86,34,100
total/all causes,19_24,2018,Mar,38,"478,713",95.26,64.98,125.53,38,100
total/all causes,19_24,2018,Apr,29,"478,713",72.69,46.25,99.14,29,100
total/all causes,19_24,2018,May,35,"478,713",87.74,58.68,116.79,35,100
total/all causes,19_24,2018,Jun,34,"478,713",85.23,56.59,113.86,34,100
total/all causes,19_24,2018,Jul,41,"478,713",102.78,71.33,134.22,41,100
total/all causes,19_24,2018,Aug,27,"478,713",67.68,42.16,93.2,27,100
total/all causes,19_24,2018,Sep,30,"478,713",75.2,48.3,102.1,30,100
total/all causes,19_24,2018,Oct,31,"478,713",77.71,50.36,105.05,31,100
total/all causes,19_24,2018,Nov,32,"478,713",80.22,52.43,108,32,100
total/all causes,19_24,2018,Dec,34,"478,713",85.23,56.59,113.86,34,100
total/all causes,19_24,2019,Jan,36,"483,312",89.38,60.2,118.57,36,100
total/all causes,19_24,2019,Feb,25,"483,312",62.07,37.75,86.4,25,100
total/all causes,19_24,2019,Mar,36,"483,312",89.38,60.2,118.57,36,100
total/all causes,19_24,2019,Apr,32,"483,312",79.45,51.93,106.97,32,100
total/all causes,19_24,2019,May,31,"483,312",76.97,49.88,104.05,31,100
total/all causes,19_24,2019,Jun,32,"483,312",79.45,51.93,106.97,32,100
total/all causes,19_24,2019,Jul,44,"483,312",109.25,76.98,141.51,44,100
total/all causes,19_24,2019,Aug,46,"483,312",114.21,81.23,147.2,46,100
total/all causes,19_24,2019,Sep,35,"483,312",86.9,58.12,115.68,35,100
total/all causes,19_24,2019,Oct,37,"483,312",91.87,62.28,121.45,37,100
total/all causes,19_24,2019,Nov,41,"483,312",101.8,70.65,132.94,41,100
total/all causes,19_24,2019,Dec,35,"483,312",86.9,58.12,115.68,35,100
total/all causes,19_24,2020,Jan,36,"494,079",87.44,58.89,115.99,36,100
total/all causes,19_24,2020,Feb,37,"494,079",89.86,60.92,118.81,37,100
total/all causes,19_24,2020,Mar,37,"494,079",89.86,60.92,118.81,37,100
total/all causes,19_24,2020,Apr,50,"494,079",121.44,87.8,155.08,50,100
total/all causes,19_24,2020,May,41,"494,079",99.58,69.11,130.05,41,100
total/all causes,19_24,2020,Jun,41,"494,079",99.58,69.11,130.05,41,100
total/all causes,19_24,2020,Jul,22,"494,079",53.43,31.11,75.75,22,100
total/all causes,19_24,2020,Aug,0,"494,079",0,0,0,0,*
total/all causes,19_24,2020,Sep,0,"494,079",0,0,0,0,*
total/all causes,19_24,2020,Oct,0,"494,079",0,0,0,0,*
total/all causes,19_24,2020,Nov,0,"494,079",0,0,0,0,*
total/all causes,19_24,2020,Dec,0,"494,079",0,0,0,0,*
total/all causes,25_44,2018,Jan,199,"1,630,669",146.44,126.11,166.77,199,100
total/all causes,25_44,2018,Feb,165,"1,630,669",121.42,102.91,139.94,165,100
total/all causes,25_44,2018,Mar,188,"1,630,669",138.35,118.59,158.11,188,100
total/all causes,25_44,2018,Apr,189,"1,630,669",139.08,119.27,158.9,189,100
total/all causes,25_44,2018,May,203,"1,630,669",149.39,128.85,169.92,203,100
total/all causes,25_44,2018,Jun,209,"1,630,669",153.8,132.97,174.64,209,100
total/all causes,25_44,2018,Jul,224,"1,630,669",164.84,143.27,186.41,224,100
total/all causes,25_44,2018,Aug,208,"1,630,669",153.07,132.28,173.85,208,100
total/all causes,25_44,2018,Sep,210,"1,630,669",154.54,133.65,175.42,210,100
total/all causes,25_44,2018,Oct,186,"1,630,669",136.88,117.22,156.53,186,100
total/all causes,25_44,2018,Nov,166,"1,630,669",122.16,103.59,140.73,166,100
total/all causes,25_44,2018,Dec,205,"1,630,669",150.86,130.22,171.49,205,100
total/all causes,25_44,2019,Jan,199,"1,659,636",143.89,123.91,163.86,199,100
total/all causes,25_44,2019,Feb,184,"1,659,636",133.04,113.83,152.25,184,100
total/all causes,25_44,2019,Mar,183,"1,659,636",132.32,113.16,151.48,183,100
total/all causes,25_44,2019,Apr,212,"1,659,636",153.29,132.67,173.91,212,100
total/all causes,25_44,2019,May,212,"1,659,636",153.29,132.67,173.91,212,100
total/all causes,25_44,2019,Jun,222,"1,659,636",160.52,139.42,181.62,222,100
total/all causes,25_44,2019,Jul,215,"1,659,636",155.46,134.69,176.22,215,100
total/all causes,25_44,2019,Aug,224,"1,659,636",161.96,140.77,183.16,224,100
total/all causes,25_44,2019,Sep,191,"1,659,636",138.1,118.53,157.67,191,100
total/all causes,25_44,2019,Oct,195,"1,659,636",140.99,121.22,160.77,195,100
total/all causes,25_44,2019,Nov,181,"1,659,636",130.87,111.82,149.93,181,100
total/all causes,25_44,2019,Dec,250,"1,659,636",180.76,158.38,203.15,250,100
total/all causes,25_44,2020,Jan,215,"1,713,485",150.57,130.46,170.68,215,100
total/all causes,25_44,2020,Feb,214,"1,713,485",149.87,129.81,169.93,214,100
total/all causes,25_44,2020,Mar,225,"1,713,485",157.57,137,178.15,225,100
total/all causes,25_44,2020,Apr,273,"1,713,485",191.19,168.53,213.85,273,100
total/all causes,25_44,2020,May,275,"1,713,485",192.59,169.85,215.33,275,100
total/all causes,25_44,2020,Jun,250,"1,713,485",175.08,153.4,196.77,250,100
total/all causes,25_44,2020,Jul,109,"1,713,485",76.34,62.01,90.66,109,100
total/all causes,25_44,2020,Aug,0,"1,713,485",0,0,0,0,*
total/all causes,25_44,2020,Sep,0,"1,713,485",0,0,0,0,*
total/all causes,25_44,2020,Oct,0,"1,713,485",0,0,0,0,*
total/all causes,25_44,2020,Nov,0,"1,713,485",0,0,0,0,*
total/all causes,25_44,2020,Dec,0,"1,713,485",0,0,0,0,*
total/all causes,45_64,2018,Jan,711,"1,434,958",594.58,551.01,638.16,711,100
total/all causes,45_64,2018,Feb,573,"1,434,958",479.18,440.04,518.32,573,100
total/all causes,45_64,2018,Mar,587,"1,434,958",490.89,451.27,530.5,587,100
total/all causes,45_64,2018,Apr,615,"1,434,958",514.3,473.76,554.84,615,100
total/all causes,45_64,2018,May,625,"1,434,958",522.66,481.79,563.53,625,100
total/all causes,45_64,2018,Jun,569,"1,434,958",475.83,436.83,514.84,569,100
total/all causes,45_64,2018,Jul,596,"1,434,958",498.41,458.5,538.33,596,100
total/all causes,45_64,2018,Aug,633,"1,434,958",529.35,488.22,570.48,633,100
total/all causes,45_64,2018,Sep,583,"1,434,958",487.54,448.06,527.02,583,100
total/all causes,45_64,2018,Oct,581,"1,434,958",485.87,446.46,525.28,581,100
total/all causes,45_64,2018,Nov,604,"1,434,958",505.1,464.92,545.28,604,100
total/all causes,45_64,2018,Dec,641,"1,434,958",536.04,494.66,577.43,641,100
total/all causes,45_64,2019,Jan,706,"1,437,130",589.51,546.15,632.87,706,100
total/all causes,45_64,2019,Feb,612,"1,437,130",511.02,470.63,551.4,612,100
total/all causes,45_64,2019,Mar,650,"1,437,130",542.75,501.14,584.36,650,100
total/all causes,45_64,2019,Apr,614,"1,437,130",512.69,472.24,553.14,614,100
total/all causes,45_64,2019,May,609,"1,437,130",508.51,468.23,548.8,609,100
total/all causes,45_64,2019,Jun,596,"1,437,130",497.66,457.8,537.51,596,100
total/all causes,45_64,2019,Jul,636,"1,437,130",531.06,489.89,572.22,636,100
total/all causes,45_64,2019,Aug,590,"1,437,130",492.65,452.99,532.3,590,100
total/all causes,45_64,2019,Sep,575,"1,437,130",480.12,440.97,519.27,575,100
total/all causes,45_64,2019,Oct,619,"1,437,130",516.86,476.25,557.48,619,100
total/all causes,45_64,2019,Nov,617,"1,437,130",515.19,474.65,555.74,617,100
total/all causes,45_64,2019,Dec,623,"1,437,130",520.2,479.46,560.95,623,100
total/all causes,45_64,2020,Jan,643,"1,451,882",531.45,490.48,572.42,643,100
total/all causes,45_64,2020,Feb,643,"1,451,882",531.45,490.48,572.42,643,100
total/all causes,45_64,2020,Mar,700,"1,451,882",578.56,535.82,621.3,700,100
total/all causes,45_64,2020,Apr,807,"1,451,882",667,621.13,712.86,807,100
total/all causes,45_64,2020,May,682,"1,451,882",563.68,521.5,605.87,682,100
total/all causes,45_64,2020,Jun,680,"1,451,882",562.03,519.9,604.15,680,100
total/all causes,45_64,2020,Jul,268,"1,451,882",221.51,195.02,248,268,100
total/all causes,45_64,2020,Aug,0,"1,451,882",0,0,0,0,*
total/all causes,45_64,2020,Sep,0,"1,451,882",0,0,0,0,*
total/all causes,45_64,2020,Oct,0,"1,451,882",0,0,0,0,*
total/all causes,45_64,2020,Nov,0,"1,451,882",0,0,0,0,*
total/all causes,45_64,2020,Dec,0,"1,451,882",0,0,0,0,*
total/all causes,65+,2018,Jan,"2,705","808,685","4,013.92","3,865.72","4,162.12","2,705",100
total/all causes,65+,2018,Feb,"2,321","808,685","3,444.11","3,306.42","3,581.79","2,321",100
total/all causes,65+,2018,Mar,"2,574","808,685","3,819.53","3,674.82","3,964.24","2,574",100
total/all causes,65+,2018,Apr,"2,345","808,685","3,479.72","3,341.35","3,618.09","2,345",100
total/all causes,65+,2018,May,"2,271","808,685","3,369.91","3,233.67","3,506.16","2,271",100
total/all causes,65+,2018,Jun,"2,013","808,685","2,987.07","2,858.54","3,115.60","2,013",100
total/all causes,65+,2018,Jul,"2,095","808,685","3,108.75","2,977.71","3,239.79","2,095",100
total/all causes,65+,2018,Aug,"2,235","808,685","3,316.49","3,181.29","3,451.69","2,235",100
total/all causes,65+,2018,Sep,"2,097","808,685","3,111.72","2,980.62","3,242.81","2,097",100
total/all causes,65+,2018,Oct,"2,350","808,685","3,487.14","3,348.63","3,625.65","2,350",100
total/all causes,65+,2018,Nov,"2,330","808,685","3,457.46","3,319.52","3,595.40","2,330",100
total/all causes,65+,2018,Dec,"2,435","808,685","3,613.27","3,472.37","3,754.17","2,435",100
total/all causes,65+,2019,Jan,"2,547","843,612","3,622.99","3,484.86","3,761.12","2,547",100
total/all causes,65+,2019,Feb,"2,314","843,612","3,291.56","3,159.67","3,423.45","2,314",100
total/all causes,65+,2019,Mar,"2,622","843,612","3,729.68","3,589.60","3,869.75","2,622",100
total/all causes,65+,2019,Apr,"2,312","843,612","3,288.71","3,156.88","3,420.55","2,312",100
total/all causes,65+,2019,May,"2,406","843,612","3,422.43","3,288.03","3,556.82","2,406",100
total/all causes,65+,2019,Jun,"2,217","843,612","3,153.58","3,024.39","3,282.77","2,217",100
total/all causes,65+,2019,Jul,"2,181","843,612","3,102.37","2,974.21","3,230.54","2,181",100
total/all causes,65+,2019,Aug,"2,159","843,612","3,071.08","2,943.54","3,198.62","2,159",100
total/all causes,65+,2019,Sep,"2,251","843,612","3,201.94","3,071.80","3,332.09","2,251",100
total/all causes,65+,2019,Oct,"2,457","843,612","3,494.97","3,359.21","3,630.73","2,457",100
total/all causes,65+,2019,Nov,"2,360","843,612","3,356.99","3,223.84","3,490.14","2,360",100
total/all causes,65+,2019,Dec,"2,547","843,612","3,622.99","3,484.86","3,761.12","2,547",100
total/all causes,65+,2020,Jan,"2,712","883,987","3,681.50","3,545.52","3,817.49","2,712",100
total/all causes,65+,2020,Feb,"2,506","883,987","3,401.86","3,270.95","3,532.77","2,506",100
total/all causes,65+,2020,Mar,"2,723","883,987","3,696.44","3,560.19","3,832.69","2,723",100
total/all causes,65+,2020,Apr,"3,342","883,987","4,536.72","4,386.44","4,687.00","3,342",100
total/all causes,65+,2020,May,"2,723","883,987","3,696.44","3,560.19","3,832.69","2,723",100
total/all causes,65+,2020,Jun,"2,447","883,987","3,321.77","3,192.36","3,451.18","2,447",100
total/all causes,65+,2020,Jul,"1,080","883,987","1,466.09","1,379.29","1,552.88","1,080",100
total/all causes,65+,2020,Aug,0,"883,987",0,0,0,0,*
total/all causes,65+,2020,Sep,0,"883,987",0,0,0,0,*
total/all causes,65+,2020,Oct,0,"883,987",0,0,0,0,*
total/all causes,65+,2020,Nov,0,"883,987",0,0,0,0,*
total/all causes,65+,2020,Dec,0,"883,987",0,0,0,0,*
suicide,all ages,2018,Jan,95,"5,695,073",20.02,15.99,24.04,"3,695",2.57
suicide,all ages,2018,Feb,84,"5,695,073",17.7,13.91,21.48,"3,146",2.67
suicide,all ages,2018,Mar,99,"5,695,073",20.86,16.75,24.97,"3,440",2.88
suicide,all ages,2018,Apr,91,"5,695,073",19.17,15.24,23.11,"3,230",2.82
suicide,all ages,2018,May,111,"5,695,073",23.39,19.04,27.74,"3,180",3.49
suicide,all ages,2018,Jun,87,"5,695,073",18.33,14.48,22.18,"2,880",3.02
suicide,all ages,2018,Jul,105,"5,695,073",22.12,17.89,26.36,"3,008",3.49
suicide,all ages,2018,Aug,100,"5,695,073",21.07,16.94,25.2,"3,150",3.17
suicide,all ages,2018,Sep,108,"5,695,073",22.76,18.47,27.05,"2,975",3.63
suicide,all ages,2018,Oct,93,"5,695,073",19.6,15.61,23.58,"3,211",2.9
suicide,all ages,2018,Nov,85,"5,695,073",17.91,14.1,21.72,"3,179",2.67
suicide,all ages,2018,Dec,78,"5,695,073",16.44,12.79,20.08,"3,357",2.32
suicide,all ages,2019,Jan,97,"5,761,907",20.2,16.18,24.22,"3,546",2.74
suicide,all ages,2019,Feb,81,"5,761,907",16.87,13.2,20.54,"3,179",2.55
suicide,all ages,2019,Mar,96,"5,761,907",19.99,15.99,23.99,"3,538",2.71
suicide,all ages,2019,Apr,110,"5,761,907",22.91,18.63,27.19,"3,223",3.41
suicide,all ages,2019,May,101,"5,761,907",21.03,16.93,25.14,"3,307",3.05
suicide,all ages,2019,Jun,95,"5,761,907",19.79,15.81,23.76,"3,109",3.06
suicide,all ages,2019,Jul,112,"5,761,907",23.33,19.01,27.65,"3,128",3.58
suicide,all ages,2019,Aug,91,"5,761,907",18.95,15.06,22.85,"3,081",2.95
suicide,all ages,2019,Sep,85,"5,761,907",17.7,13.94,21.47,"3,092",2.75
suicide,all ages,2019,Oct,93,"5,761,907",19.37,15.43,23.3,"3,355",2.77
suicide,all ages,2019,Nov,95,"5,761,907",19.79,15.81,23.76,"3,249",2.92
suicide,all ages,2019,Dec,72,"5,761,907",15,11.53,18.46,"3,506",2.05
suicide,all ages,2020,Jan,89,"5,907,198",18.08,14.32,21.84,"3,657",2.43
suicide,all ages,2020,Feb,86,"5,907,198",17.47,13.78,21.16,"3,454",2.49
suicide,all ages,2020,Mar,80,"5,907,198",16.25,12.69,19.81,"3,733",2.14
suicide,all ages,2020,Apr,106,"5,907,198",21.53,17.43,25.63,"4,530",2.34
suicide,all ages,2020,May,76,"5,907,198",15.44,11.97,18.91,"3,783",2.01
suicide,all ages,2020,Jun,42,"5,907,198",8.53,5.95,11.11,"3,470",1.21
suicide,all ages,2020,Jul,0,"5,907,198",0,0,0,"1,500",0
suicide,all ages,2020,Aug,0,"5,907,198",0,0,0,0,*
suicide,all ages,2020,Sep,0,"5,907,198",0,0,0,0,*
suicide,all ages,2020,Oct,0,"5,907,198",0,0,0,0,*
suicide,all ages,2020,Nov,0,"5,907,198",0,0,0,0,*
suicide,all ages,2020,Dec,0,"5,907,198",0,0,0,0,*
suicide,10_18,2018,Jan,6,"667,117",10.79,2.16,19.43,17,35.29
suicide,10_18,2018,Feb,9,"667,117",16.19,5.61,26.77,18,50
suicide,10_18,2018,Mar,9,"667,117",16.19,5.61,26.77,19,47.37
suicide,10_18,2018,Apr,4,"667,117",7.2,0.14,14.25,16,25
suicide,10_18,2018,May,6,"667,117",10.79,2.16,19.43,13,46.15
suicide,10_18,2018,Jun,4,"667,117",7.2,0.14,14.25,21,19.05
suicide,10_18,2018,Jul,6,"667,117",10.79,2.16,19.43,27,22.22
suicide,10_18,2018,Aug,6,"667,117",10.79,2.16,19.43,9,66.67
suicide,10_18,2018,Sep,5,"667,117",8.99,1.11,16.88,14,35.71
suicide,10_18,2018,Oct,12,"667,117",21.59,9.37,33.8,21,57.14
suicide,10_18,2018,Nov,4,"667,117",7.2,0.14,14.25,13,30.77
suicide,10_18,2018,Dec,3,"667,117",5.4,0,11.5,13,23.08
suicide,10_18,2019,Jan,13,"668,842",23.32,10.65,36,22,59.09
suicide,10_18,2019,Feb,5,"668,842",8.97,1.11,16.83,16,31.25
suicide,10_18,2019,Mar,5,"668,842",8.97,1.11,16.83,16,31.25
suicide,10_18,2019,Apr,9,"668,842",16.15,5.6,26.7,18,50
suicide,10_18,2019,May,4,"668,842",7.18,0.14,14.21,21,19.05
suicide,10_18,2019,Jun,7,"668,842",12.56,3.26,21.86,19,36.84
suicide,10_18,2019,Jul,6,"668,842",10.76,2.15,19.38,23,26.09
suicide,10_18,2019,Aug,6,"668,842",10.76,2.15,19.38,20,30
suicide,10_18,2019,Sep,*,"668,842",*,*,*,10,*
suicide,10_18,2019,Oct,6,"668,842",10.76,2.15,19.38,17,35.29
suicide,10_18,2019,Nov,4,"668,842",7.18,0.14,14.21,21,19.05
suicide,10_18,2019,Dec,3,"668,842",5.38,0,11.47,14,21.43
suicide,10_18,2020,Jan,10,"673,170",17.83,6.78,28.87,24,41.67
suicide,10_18,2020,Feb,5,"673,170",8.91,1.1,16.73,15,33.33
suicide,10_18,2020,Mar,6,"673,170",10.7,2.14,19.25,13,46.15
suicide,10_18,2020,Apr,8,"673,170",14.26,4.38,24.14,25,32
suicide,10_18,2020,May,6,"673,170",10.7,2.14,19.25,27,22.22
suicide,10_18,2020,Jun,*,"673,170",*,*,*,19,*
suicide,10_18,2020,Jul,0,"673,170",0,0,0,11,0
suicide,10_18,2020,Aug,0,"673,170",0,0,0,0,*
suicide,10_18,2020,Sep,0,"673,170",0,0,0,0,*
suicide,10_18,2020,Oct,0,"673,170",0,0,0,0,*
suicide,10_18,2020,Nov,0,"673,170",0,0,0,0,*
suicide,10_18,2020,Dec,0,"673,170",0,0,0,0,*
suicide,19_24,2018,Jan,11,"478,713",27.57,11.28,43.87,33,33.33
suicide,19_24,2018,Feb,9,"478,713",22.56,7.82,37.3,34,26.47
suicide,19_24,2018,Mar,9,"478,713",22.56,7.82,37.3,38,23.68
suicide,19_24,2018,Apr,8,"478,713",20.05,6.16,33.95,29,27.59
suicide,19_24,2018,May,15,"478,713",37.6,18.58,56.63,35,42.86
suicide,19_24,2018,Jun,8,"478,713",20.05,6.16,33.95,34,23.53
suicide,19_24,2018,Jul,12,"478,713",30.08,13.06,47.1,41,29.27
suicide,19_24,2018,Aug,9,"478,713",22.56,7.82,37.3,27,33.33
suicide,19_24,2018,Sep,9,"478,713",22.56,7.82,37.3,30,30
suicide,19_24,2018,Oct,10,"478,713",25.07,9.53,40.6,31,32.26
suicide,19_24,2018,Nov,7,"478,713",17.55,4.55,30.54,32,21.88
suicide,19_24,2018,Dec,16,"478,713",40.11,20.46,59.76,34,47.06
suicide,19_24,2019,Jan,9,"483,312",22.35,7.75,36.94,36,25
suicide,19_24,2019,Feb,11,"483,312",27.31,11.17,43.45,25,44
suicide,19_24,2019,Mar,8,"483,312",19.86,6.1,33.63,36,22.22
suicide,19_24,2019,Apr,12,"483,312",29.79,12.94,46.65,32,37.5
suicide,19_24,2019,May,11,"483,312",27.31,11.17,43.45,31,35.48
suicide,19_24,2019,Jun,5,"483,312",12.41,1.53,23.3,32,15.63
suicide,19_24,2019,Jul,13,"483,312",32.28,14.73,49.82,44,29.55
suicide,19_24,2019,Aug,5,"483,312",12.41,1.53,23.3,46,10.87
suicide,19_24,2019,Sep,13,"483,312",32.28,14.73,49.82,35,37.14
suicide,19_24,2019,Oct,9,"483,312",22.35,7.75,36.94,37,24.32
suicide,19_24,2019,Nov,12,"483,312",29.79,12.94,46.65,41,29.27
suicide,19_24,2019,Dec,7,"483,312",17.38,4.51,30.25,35,20
suicide,19_24,2020,Jan,6,"494,079",14.57,2.91,26.23,36,16.67
suicide,19_24,2020,Feb,9,"494,079",21.86,7.58,36.14,37,24.32
suicide,19_24,2020,Mar,7,"494,079",17,4.41,29.6,37,18.92
suicide,19_24,2020,Apr,14,"494,079",34,16.19,51.81,50,28
suicide,19_24,2020,May,8,"494,079",19.43,5.97,32.89,41,19.51
suicide,19_24,2020,Jun,8,"494,079",19.43,5.97,32.89,41,19.51
suicide,19_24,2020,Jul,0,"494,079",0,0,0,22,0
suicide,19_24,2020,Aug,0,"494,079",0,0,0,0,*
suicide,19_24,2020,Sep,0,"494,079",0,0,0,0,*
suicide,19_24,2020,Oct,0,"494,079",0,0,0,0,*
suicide,19_24,2020,Nov,0,"494,079",0,0,0,0,*
suicide,19_24,2020,Dec,0,"494,079",0,0,0,0,*
suicide,25_44,2018,Jan,40,"1,630,669",29.44,20.31,38.56,199,20.1
suicide,25_44,2018,Feb,32,"1,630,669",23.55,15.39,31.71,165,19.39
suicide,25_44,2018,Mar,32,"1,630,669",23.55,15.39,31.71,188,17.02
suicide,25_44,2018,Apr,24,"1,630,669",17.66,10.6,24.73,189,12.7
suicide,25_44,2018,May,38,"1,630,669",27.96,19.07,36.85,203,18.72
suicide,25_44,2018,Jun,32,"1,630,669",23.55,15.39,31.71,209,15.31
suicide,25_44,2018,Jul,43,"1,630,669",31.64,22.19,41.1,224,19.2
suicide,25_44,2018,Aug,40,"1,630,669",29.44,20.31,38.56,208,19.23
suicide,25_44,2018,Sep,47,"1,630,669",34.59,24.7,44.47,210,22.38
suicide,25_44,2018,Oct,37,"1,630,669",27.23,18.46,36,186,19.89
suicide,25_44,2018,Nov,26,"1,630,669",19.13,11.78,26.49,166,15.66
suicide,25_44,2018,Dec,26,"1,630,669",19.13,11.78,26.49,205,12.68
suicide,25_44,2019,Jan,41,"1,659,636",29.65,20.57,38.72,199,20.6
suicide,25_44,2019,Feb,28,"1,659,636",20.25,12.75,27.74,184,15.22
